month,town-district,zipcode,temperature,rainfall (inches)
jan,Aiea,96701,73,2.7
feb,Aiea,96701,73,2.4
mar,Aiea,96701,74.3,1.9
apr,Aiea,96701,75.6,1.1
may,Aiea,96701,77.2,0.8
jun,Aiea,96701,79.5,0.4
jul,Aiea,96701,80.8,0.5
aug,Aiea,96701,81.8,0.5
sep,Aiea,96701,81.5,0.7
oct,Aiea,96701,80.2,2.2
nov,Aiea,96701,77.7,2.3
dec,Aiea,96701,74.8,2.9
jan,Ewa Beach,96706,71.6,2.8
feb,Ewa Beach,96706,71.5,2.6
mar,Ewa Beach,96706,73,1.6
apr,Ewa Beach,96706,74.7,1.1
may,Ewa Beach,96706,76.1,0.8
jun,Ewa Beach,96706,78.4,0.4
jul,Ewa Beach,96706,79.5,0.5
aug,Ewa Beach,96706,79.9,0.4
sep,Ewa Beach,96706,79.3,0.7
oct,Ewa Beach,96706,78.1,2.1
nov,Ewa Beach,96706,76,2.3
dec,Ewa Beach,96706,73.3,2.7
jan,Kapolei,96707,73,2.5
feb,Kapolei,96707,73.1,2.4
mar,Kapolei,96707,74.2,1.3
apr,Kapolei,96707,75.6,1.1
may,Kapolei,96707,76.9,0.9
jun,Kapolei,96707,79.1,0.4
jul,Kapolei,96707,80.3,0.4
aug,Kapolei,96707,80.6,0.4
sep,Kapolei,96707,80.6,0.6
oct,Kapolei,96707,79.3,2
nov,Kapolei,96707,77.1,2.3
dec,Kapolei,96707,74.7,2.5
jan,Kapolei,96709,65.9,5.1
feb,Kapolei,96709,66,4.1
mar,Kapolei,96709,66.6,2.9
apr,Kapolei,96709,67.5,2.6
may,Kapolei,96709,68.4,2.2
jun,Kapolei,96709,70.2,1.6
jul,Kapolei,96709,71.1,1.7
aug,Kapolei,96709,72.1,1.4
sep,Kapolei,96709,72.2,2.1
oct,Kapolei,96709,71.2,2.5
nov,Kapolei,96709,69.7,3.1
dec,Kapolei,96709,67.5,4.4
jan,Haleiwa,96712,70.3,5.8
feb,Haleiwa,96712,70.4,4.1
mar,Haleiwa,96712,71.9,5.7
apr,Haleiwa,96712,72.9,5
may,Haleiwa,96712,74.2,3.9
jun,Haleiwa,96712,76.1,3.6
jul,Haleiwa,96712,76.9,4.3
aug,Haleiwa,96712,77.8,3
sep,Haleiwa,96712,77.6,2.7
oct,Haleiwa,96712,76.6,4.2
nov,Haleiwa,96712,74,6.2
dec,Haleiwa,96712,71.4,6.3
jan,Hauula,96717,71.8,4
feb,Hauula,96717,71.6,3.5
mar,Hauula,96717,72.6,4.5
apr,Hauula,96717,73.7,2.2
may,Hauula,96717,74.6,2.1
jun,Hauula,96717,76.6,2
jul,Hauula,96717,77.4,2.6
aug,Hauula,96717,78.5,1.5
sep,Hauula,96717,78.6,2.5
oct,Hauula,96717,78.1,3.5
nov,Hauula,96717,75.6,5.2
dec,Hauula,96717,73.3,4.5
jan,Kaaawa,96730,73.8,4.4
feb,Kaaawa,96730,73.8,5.8
mar,Kaaawa,96730,74.4,2.9
apr,Kaaawa,96730,75.1,3.1
may,Kaaawa,96730,76.4,2.1
jun,Kaaawa,96730,78,2.2
jul,Kaaawa,96730,78.9,1.7
aug,Kaaawa,96730,79.8,1.7
sep,Kaaawa,96730,80.3,2
oct,Kaaawa,96730,79.3,3
nov,Kaaawa,96730,77.1,4.4
dec,Kaaawa,96730,75,4
jan,Kahuku,96731,71.8,4
feb,Kahuku,96731,71.6,3.5
mar,Kahuku,96731,72.6,4.5
apr,Kahuku,96731,73.7,2.2
may,Kahuku,96731,74.6,2.1
jun,Kahuku,96731,76.6,2
jul,Kahuku,96731,77.4,2.6
aug,Kahuku,96731,78.5,1.5
sep,Kahuku,96731,78.6,2.5
oct,Kahuku,96731,78.1,3.5
nov,Kahuku,96731,75.6,5.2
dec,Kahuku,96731,73.3,4.5
jan,Kailua,96734,73.8,4.4
feb,Kailua,96734,73.8,5.8
mar,Kailua,96734,74.4,2.9
apr,Kailua,96734,75.1,3.1
may,Kailua,96734,76.4,2.1
jun,Kailua,96734,78,2.2
jul,Kailua,96734,78.9,1.7
aug,Kailua,96734,79.8,1.7
sep,Kailua,96734,80.3,2
oct,Kailua,96734,79.3,3
nov,Kailua,96734,77.1,4.4
dec,Kailua,96734,75,4
jan,Kaneohe,96744,71.5,8.5
feb,Kaneohe,96744,71.8,6
mar,Kaneohe,96744,72.3,6.5
apr,Kaneohe,96744,73.2,6.6
may,Kaneohe,96744,74.6,5
jun,Kaneohe,96744,76.3,4.6
jul,Kaneohe,96744,77,5.1
aug,Kaneohe,96744,77.9,4.5
sep,Kaneohe,96744,77.9,4.9
oct,Kaneohe,96744,77,6.4
nov,Kaneohe,96744,74.8,9.5
dec,Kaneohe,96744,73.1,7.3
jan,Kunia,96759,69.5,5.2
feb,Kunia,96759,69.2,3.9
mar,Kunia,96759,70.2,3.4
apr,Kunia,96759,71.4,2.2
may,Kunia,96759,73,1.5
jun,Kunia,96759,75,1.1
jul,Kunia,96759,76.1,1.2
aug,Kunia,96759,77,0.7
sep,Kunia,96759,76.7,1.3
oct,Kunia,96759,75.7,2.5
nov,Kunia,96759,74.1,3.5
dec,Kunia,96759,71.3,3.4
jan,Laie,96762,71.8,4
feb,Laie,96762,71.6,3.5
mar,Laie,96762,72.6,4.5
apr,Laie,96762,73.7,2.2
may,Laie,96762,74.6,2.1
jun,Laie,96762,76.6,2
jul,Laie,96762,77.4,2.6
aug,Laie,96762,78.5,1.5
sep,Laie,96762,78.6,2.5
oct,Laie,96762,78.1,3.5
nov,Laie,96762,75.6,5.2
dec,Laie,96762,73.3,4.5
jan,Pearl City,96782,73,2.7
feb,Pearl City,96782,73,2.4
mar,Pearl City,96782,74.3,1.9
apr,Pearl City,96782,75.6,1.1
may,Pearl City,96782,77.2,0.8
jun,Pearl City,96782,79.5,0.4
jul,Pearl City,96782,80.8,0.5
aug,Pearl City,96782,81.8,0.5
sep,Pearl City,96782,81.5,0.7
oct,Pearl City,96782,80.2,2.2
nov,Pearl City,96782,77.7,2.3
dec,Pearl City,96782,74.8,2.9
jan,Wahiawa,96786,7,7
feb,Wahiawa,96786,5,5
mar,Wahiawa,96786,5.4,5.4
apr,Wahiawa,96786,5.7,5.7
may,Wahiawa,96786,3.4,3.4
jun,Wahiawa,96786,2.7,2.7
jul,Wahiawa,96786,3.3,3.3
aug,Wahiawa,96786,2.1,2.1
sep,Wahiawa,96786,2.2,2.2
oct,Wahiawa,96786,3.5,3.5
nov,Wahiawa,96786,5,5
dec,Wahiawa,96786,4.7,4.7
jan,Mililani,96789,69,7
feb,Mililani,96789,68.7,5
mar,Mililani,96789,69.2,5.4
apr,Mililani,96789,69,5.7
may,Mililani,96789,70.7,3.4
jun,Mililani,96789,72.4,2.7
jul,Mililani,96789,73.2,3.3
aug,Mililani,96789,73.9,2.1
sep,Mililani,96789,74.4,2.2
oct,Mililani,96789,73.7,3.5
nov,Mililani,96789,72.2,5
dec,Mililani,96789,70.3,4.7
jan,Waialua,96791,69.5,5.2
feb,Waialua,96791,69.2,3.9
mar,Waialua,96791,70.2,3.4
apr,Waialua,96791,71.4,2.2
may,Waialua,96791,73,1.5
jun,Waialua,96791,75,1.1
jul,Waialua,96791,76.1,1.2
aug,Waialua,96791,77,0.7
sep,Waialua,96791,76.7,1.3
oct,Waialua,96791,75.7,2.5
nov,Waialua,96791,74.1,3.5
dec,Waialua,96791,71.3,3.4
jan,Waianae,96792,66.1,4.1
feb,Waianae,96792,66,2.9
mar,Waianae,96792,66.5,2.4
apr,Waianae,96792,67.7,2.2
may,Waianae,96792,69,1.7
jun,Waianae,96792,71,1.3
jul,Waianae,96792,72.5,1.3
aug,Waianae,96792,73.5,1.1
sep,Waianae,96792,73.6,1.3
oct,Waianae,96792,72.2,3.4
nov,Waianae,96792,69.9,3.4
dec,Waianae,96792,67.3,4.3
jan,Waimanalo,96795,71.6,6.8
feb,Waimanalo,96795,71.5,4.6
mar,Waimanalo,96795,72.5,3.6
apr,Waimanalo,96795,73.9,3.2
may,Waimanalo,96795,75.3,3.2
jun,Waimanalo,96795,77.1,1.5
jul,Waimanalo,96795,78.2,1.6
aug,Waimanalo,96795,79,1.5
sep,Waimanalo,96795,78.9,2
oct,Waimanalo,96795,77.9,3.7
nov,Waimanalo,96795,75.6,5.6
dec,Waimanalo,96795,73.1,5.5
jan,Waipahu,96797,71.6,2.8
feb,Waipahu,96797,71.5,2.6
mar,Waipahu,96797,73,1.6
apr,Waipahu,96797,74.7,1.1
may,Waipahu,96797,76.1,0.8
jun,Waipahu,96797,78.4,0.4
jul,Waipahu,96797,79.5,0.5
aug,Waipahu,96797,79.9,0.4
sep,Waipahu,96797,79.3,0.7
oct,Waipahu,96797,78.1,2.1
nov,Waipahu,96797,76,2.3
dec,Waipahu,96797,73.3,2.7
jan,Honolulu,96801,69.7,11.7
feb,Honolulu,96801,69.8,9.6
mar,Honolulu,96801,70.3,14
apr,Honolulu,96801,70.7,16.3
may,Honolulu,96801,72.1,12.1
jun,Honolulu,96801,73.2,12.5
jul,Honolulu,96801,74.2,15.2
aug,Honolulu,96801,75.4,12
sep,Honolulu,96801,75.8,10.6
oct,Honolulu,96801,74.9,11.6
nov,Honolulu,96801,72.9,14.3
dec,Honolulu,96801,71,12.3
jan,Honolulu,96802,69.7,11.7
feb,Honolulu,96802,69.8,9.6
mar,Honolulu,96802,70.3,14
apr,Honolulu,96802,70.7,16.3
may,Honolulu,96802,72.1,12.1
jun,Honolulu,96802,73.2,12.5
jul,Honolulu,96802,74.2,15.2
aug,Honolulu,96802,75.4,12
sep,Honolulu,96802,75.8,10.6
oct,Honolulu,96802,74.9,11.6
nov,Honolulu,96802,72.9,14.3
dec,Honolulu,96802,71,12.3
jan,Honolulu,96803,69.7,11.7
feb,Honolulu,96803,69.8,9.6
mar,Honolulu,96803,70.3,14
apr,Honolulu,96803,70.7,16.3
may,Honolulu,96803,72.1,12.1
jun,Honolulu,96803,73.2,12.5
jul,Honolulu,96803,74.2,15.2
aug,Honolulu,96803,75.4,12
sep,Honolulu,96803,75.8,10.6
oct,Honolulu,96803,74.9,11.6
nov,Honolulu,96803,72.9,14.3
dec,Honolulu,96803,71,12.3
jan,Honolulu,96804,69.7,11.7
feb,Honolulu,96804,69.8,9.6
mar,Honolulu,96804,70.3,14
apr,Honolulu,96804,70.7,16.3
may,Honolulu,96804,72.1,12.1
jun,Honolulu,96804,73.2,12.5
jul,Honolulu,96804,74.2,15.2
aug,Honolulu,96804,75.4,12
sep,Honolulu,96804,75.8,10.6
oct,Honolulu,96804,74.9,11.6
nov,Honolulu,96804,72.9,14.3
dec,Honolulu,96804,71,12.3
jan,Honolulu,96805,69.7,11.7
feb,Honolulu,96805,69.8,9.6
mar,Honolulu,96805,70.3,14
apr,Honolulu,96805,70.7,16.3
may,Honolulu,96805,72.1,12.1
jun,Honolulu,96805,73.2,12.5
jul,Honolulu,96805,74.2,15.2
aug,Honolulu,96805,75.4,12
sep,Honolulu,96805,75.8,10.6
oct,Honolulu,96805,74.9,11.6
nov,Honolulu,96805,72.9,14.3
dec,Honolulu,96805,71,12.3
jan,Honolulu,96806,69.7,11.7
feb,Honolulu,96806,69.8,9.6
mar,Honolulu,96806,70.3,14
apr,Honolulu,96806,70.7,16.3
may,Honolulu,96806,72.1,12.1
jun,Honolulu,96806,73.2,12.5
jul,Honolulu,96806,74.2,15.2
aug,Honolulu,96806,75.4,12
sep,Honolulu,96806,75.8,10.6
oct,Honolulu,96806,74.9,11.6
nov,Honolulu,96806,72.9,14.3
dec,Honolulu,96806,71,12.3
jan,Honolulu,96807,69.7,11.7
feb,Honolulu,96807,69.8,9.6
mar,Honolulu,96807,70.3,14
apr,Honolulu,96807,70.7,16.3
may,Honolulu,96807,72.1,12.1
jun,Honolulu,96807,73.2,12.5
jul,Honolulu,96807,74.2,15.2
aug,Honolulu,96807,75.4,12
sep,Honolulu,96807,75.8,10.6
oct,Honolulu,96807,74.9,11.6
nov,Honolulu,96807,72.9,14.3
dec,Honolulu,96807,71,12.3
jan,Honolulu,96808,69.7,11.7
feb,Honolulu,96808,69.8,9.6
mar,Honolulu,96808,70.3,14
apr,Honolulu,96808,70.7,16.3
may,Honolulu,96808,72.1,12.1
jun,Honolulu,96808,73.2,12.5
jul,Honolulu,96808,74.2,15.2
aug,Honolulu,96808,75.4,12
sep,Honolulu,96808,75.8,10.6
oct,Honolulu,96808,74.9,11.6
nov,Honolulu,96808,72.9,14.3
dec,Honolulu,96808,71,12.3
jan,Honolulu,96809,69.7,11.7
feb,Honolulu,96809,69.8,9.6
mar,Honolulu,96809,70.3,14
apr,Honolulu,96809,70.7,16.3
may,Honolulu,96809,72.1,12.1
jun,Honolulu,96809,73.2,12.5
jul,Honolulu,96809,74.2,15.2
aug,Honolulu,96809,75.4,12
sep,Honolulu,96809,75.8,10.6
oct,Honolulu,96809,74.9,11.6
nov,Honolulu,96809,72.9,14.3
dec,Honolulu,96809,71,12.3
jan,Honolulu,96810,69.7,11.7
feb,Honolulu,96810,69.8,9.6
mar,Honolulu,96810,70.3,14
apr,Honolulu,96810,70.7,16.3
may,Honolulu,96810,72.1,12.1
jun,Honolulu,96810,73.2,12.5
jul,Honolulu,96810,74.2,15.2
aug,Honolulu,96810,75.4,12
sep,Honolulu,96810,75.8,10.6
oct,Honolulu,96810,74.9,11.6
nov,Honolulu,96810,72.9,14.3
dec,Honolulu,96810,71,12.3
jan,Honolulu,96811,69.7,11.7
feb,Honolulu,96811,69.8,9.6
mar,Honolulu,96811,70.3,14
apr,Honolulu,96811,70.7,16.3
may,Honolulu,96811,72.1,12.1
jun,Honolulu,96811,73.2,12.5
jul,Honolulu,96811,74.2,15.2
aug,Honolulu,96811,75.4,12
sep,Honolulu,96811,75.8,10.6
oct,Honolulu,96811,74.9,11.6
nov,Honolulu,96811,72.9,14.3
dec,Honolulu,96811,71,12.3
jan,Honolulu,96812,69.7,11.7
feb,Honolulu,96812,69.8,9.6
mar,Honolulu,96812,70.3,14
apr,Honolulu,96812,70.7,16.3
may,Honolulu,96812,72.1,12.1
jun,Honolulu,96812,73.2,12.5
jul,Honolulu,96812,74.2,15.2
aug,Honolulu,96812,75.4,12
sep,Honolulu,96812,75.8,10.6
oct,Honolulu,96812,74.9,11.6
nov,Honolulu,96812,72.9,14.3
dec,Honolulu,96812,71,12.3
jan,Honolulu,96813,69.7,11.7
feb,Honolulu,96813,69.8,9.6
mar,Honolulu,96813,70.3,14
apr,Honolulu,96813,70.7,16.3
may,Honolulu,96813,72.1,12.1
jun,Honolulu,96813,73.2,12.5
jul,Honolulu,96813,74.2,15.2
aug,Honolulu,96813,75.4,12
sep,Honolulu,96813,75.8,10.6
oct,Honolulu,96813,74.9,11.6
nov,Honolulu,96813,72.9,14.3
dec,Honolulu,96813,71,12.3
jan,Honolulu,96814,69.7,11.7
feb,Honolulu,96814,69.8,9.6
mar,Honolulu,96814,70.3,14
apr,Honolulu,96814,70.7,16.3
may,Honolulu,96814,72.1,12.1
jun,Honolulu,96814,73.2,12.5
jul,Honolulu,96814,74.2,15.2
aug,Honolulu,96814,75.4,12
sep,Honolulu,96814,75.8,10.6
oct,Honolulu,96814,74.9,11.6
nov,Honolulu,96814,72.9,14.3
dec,Honolulu,96814,71,12.3
jan,Waikiki,96815,72.7,3.4
feb,Waikiki,96815,72.9,2.4
mar,Waikiki,96815,74.2,2.3
apr,Waikiki,96815,75.4,1.4
may,Waikiki,96815,76.7,1.2
jun,Waikiki,96815,78.7,0.7
jul,Waikiki,96815,79.7,0.9
aug,Waikiki,96815,80.5,0.6
sep,Waikiki,96815,80.2,1
oct,Waikiki,96815,79.1,2.1
nov,Waikiki,96815,76.9,2.9
dec,Waikiki,96815,74.2,3.5
jan,Waialae / Kahala,96816,72.7,3.4
feb,Waialae / Kahala,96816,72.9,2.4
mar,Waialae / Kahala,96816,74.2,2.3
apr,Waialae / Kahala,96816,75.4,1.4
may,Waialae / Kahala,96816,76.7,1.2
jun,Waialae / Kahala,96816,78.7,0.7
jul,Waialae / Kahala,96816,79.7,0.9
aug,Waialae / Kahala,96816,80.5,0.6
sep,Waialae / Kahala,96816,80.2,1
